Actual Price,Predicted Price
179.8,180.15780293877438
365.3,375.8488935666933
315.35,299.929940592105
407.45,411.8604495500341
106.45,102.1410894214672
275.4,275.55596095289513
566.4,529.1851999035262
484.45,505.8101538560871
404.15,414.0581034519301
445.65,443.92621784588
311.7,297.58244665144343
259.35,240.3934985225595
97.5,100.4429023154567
403.95,408.6638620563673
490.5,493.22359059977373
342.9,345.5312590564465
548.75,555.7568334446319
99.55,100.09327555833687
1269.25,1244.1719182135462
131.85,135.40557802743814
489.4,495.3712978220812
333.55,345.7310457748007
526.2,508.6571145926341
154.85,161.12811801553875
398.4,404.71807436887224
467.0,458.31086156738087
733.15,714.5872745362046
540.2,506.3595673315611
214.0,223.7113075399855
735.8,736.8634936326957
353.55,370.85422560783877
1085.15,1067.8601392659828
425.0,424.64679952470163
174.5,172.9654810780239
460.7,452.91662017181807
936.2,930.5567170770728
249.85,232.30213642921524
634.1,639.1677883575019
500.0,510.00567494152483
422.85,411.2610893949716
276.1,271.6601199449886
480.75,484.78260174930966
101.25,100.99231579093072
785.2,790.7559609087357
166.15,163.97507875208584
1072.9,1073.7039007778426
500.0,478.43937344156444
411.15,412.0602362683883
492.7,504.4116468276078
391.35,392.38124451050163
344.9,331.096668655357
571.65,564.9470224889242
469.55,450.5691262311564
389.0,389.1347103372462
763.6,770.2278755978438
411.8,413.75842337439883
472.9,459.95910199380285
279.15,289.5909779172763
267.5,259.62297016414936
725.45,741.5584815140189
330.15,329.3984815493465
86.3,88.35580585502885
978.65,985.6978513428264
230.35,229.65496241102235
212.0,222.31280051150628
409.9,407.81476850336196
106.15,105.83714371101956
950.7,957.2282439773559
466.95,472.0961451338193
305.05,307.97135600586074
971.35,992.2908130485142
183.55,184.5031640629778
413.45,408.7637554155443
103.7,101.7415159847589
344.1,337.2900569243366
377.0,371.9031058791982
147.15,144.69566043090754
380.0,379.94452129295394
80.45,77.3175896659605
781.65,791.3053743842097
1150.85,1156.1159220989416
394.0,382.5417486315583
478.05,478.08974668444466
222.3,217.11834583429763
540.75,558.7536342199446
641.95,659.3961935908626
194.3,189.64767206059793
354.5,360.1656361758902
344.95,342.18483152401404
250.65,239.34461825120007
388.85,398.07516598359575
618.75,607.2518601004218
279.95,268.26374573296755
686.9,682.5714529199474
459.25,447.32259205790103
394.85,399.2738862937208
611.2,616.6418358630682
453.6,447.12280533954686
1251.75,1200.5684669327466
205.0,206.3298630431719
631.75,629.4781325173243
393.25,414.4576768886385
182.2,194.29271326233257
389.05,386.087962882345
122.3,124.26746847919264
83.45,82.26231094522643
106.3,117.62456009391616
703.1,696.9061499618599
284.2,280.90025566886936
673.7,679.774438862989
535.3,553.0097660672619
392.65,390.73300408407965
474.0,445.1748848355936
643.65,644.1624563163564
617.2,629.27834579897
287.95,301.9278077756468
684.4,674.3302507878375
928.5,938.6980258500057
957.3,918.9690874125304
435.8,440.42995027468186
440.35,440.9294170705673
348.5,347.8787529971081
375.15,376.9976671972298
74.55,67.92761390331395
399.9,398.8243661774239
425.35,420.4013317596753
165.8,158.18126391981463
696.95,715.5862081279756
165.7,164.22481215002853
504.2,520.4445309755308
293.35,297.9320734085632
132.5,133.75733760101616
497.6,506.90898080703505
507.15,507.6082343212747
464.4,454.4150205594744
376.1,376.24846700340163
166.95,167.22161292534128
446.45,446.82312526201554
69.9,71.77350823163198
151.8,153.03675592219446
386.55,386.6873230374075
247.75,244.289339530466
124.55,122.06981457729665
345.65,343.73317859125893
213.1,213.62207826309947
291.15,293.18713884765145
418.9,420.3014384004982
452.1,443.72643112752576
528.5,522.4923448386611
430.8,421.00069191473784
556.75,556.7058203568143
414.7,416.705277470123
99.95,102.1410894214672
780.5,785.7612929498812
771.9,774.0238232465731
212.35,216.5689323588236
509.0,507.2086608845663
130.8,136.65424501715177
152.75,141.79875301477188
235.15,235.7984040004134
736.15,732.2184524309612
421.9,410.96140931744037
261.85,260.17238363962326
729.5,730.4703186453621
456.75,457.861341451084
564.15,562.2499017911427
448.4,444.3257912825883
619.5,634.0232803598818
347.05,341.3856846505973
401.65,407.76482182377345
93.95,92.70116697923226
413.1,423.398132534988
155.75,147.14304773074616
1039.3,1017.1143128040212
520.4,528.8855198259948
